"state","county","date","fips","cases","deaths","FIPStxt","PpovertyALL_2018","Ppoverty017_2018","FIPS.x","Unemployment_rate_2018","Med_HH_Income_2018","Med_HH_Income_vs_Total_2018","FIPS.Code","Pnohighschool1418","Phighschool1418","Psomecollege1418","Pcollege1418","FIPS.y","R_birth_2018","R_death_2018","R_INTERNATIONAL_MIG_2018","R_DOMESTIC_MIG_2018","TOT_POP","Pmale","Pwhite","Pblack","Pasian","Phispanic","Page1","Page2","Page3","Page4","Page5","Page6","Page7","Page8","Page9","Page10","Page11","Page12","Page13","Page14","Page15","Page16","Page17","Page18","Max.Temp","Min.Temp","Precip"
"AZ","Apache",89,4001,17,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",80,4001,3,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",92,4001,19,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",96,4001,25,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",105,4001,110,4,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",81,4001,3,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",82,4001,4,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",94,4001,20,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",99,4001,52,3,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
"AZ","Apache",93,4001,17,0,"04001",37.3,47.3,"04001",10.1,33652,56.961,"04001",20.4,33.1,34.8,11.7,"04001",13.559984096,9.7933218473,0.8649372572,-0.767283051,71818,0.491659472555627,0.223746136066167,0.00570887521234231,0.00449747974045504,0.0639115542064663,0.0668216881561726,0.0759837366676878,0.0820128658553566,0.0764293074159681,0.0653735832242613,0.0695925812470411,0.0611545852014815,0.0551950764432315,0.0523824110947116,0.0533710211924587,0.0598178729566404,0.0671837143891504,0.061711548636832,0.0507532930463115,0.0393633907933944,0.0286836169205492,0.0180873875630065,0.0160823191957448,57.3,31,1.22
